
===== doforpjh.wav =====
[] Data chunk size = 66150
[] The number of channel = 1 (mono = 1, stereo = 2)
[] Sampling rate = 22050 [Hz or samples/sec]
[] Sample resolution = 8 [bits/sample]
[] Play time = 3.000000 [sec]
Array size : 66150
Print bin end
Index : 65536
=== END ===
==== PRINT ====
0xf7212008 real : 8390822.000000 / imag : 0.000000 
0xf7212018 real : 374.000000 / imag : 0.000000 
0xf7212028 real : 366.000000 / imag : -364.000000 
0xf7212038 real : 0.000000 / imag : 0.000000 
0xf7212048 real : 399.656854 / imag : -904.229581 
0xf7212058 real : 0.000000 / imag : 0.000000 
0xf7212068 real : 388.343146 / imag : -176.229581 
0xf7212078 real : 0.000000 / imag : 0.000000 
0xf7212088 real : 305.870808 / imag : -1897.324529 
0xf7212098 real : 0.000000 / imag : 0.000000 
0xf72120a8 real : 393.378031 / imag : -242.743367 
0xf72120b8 real : 0.000000 / imag : 0.000000 
0xf72120c8 real : 349.249386 / imag : -465.947694 
0xf72120d8 real : 0.000000 / imag : 0.000000 
0xf72120e8 real : 391.501775 / imag : -50.120202 
0xf72120f8 real : 0.000000 / imag : 0.000000 
0xf7212108 real : 65.226134 / imag : -4314.847040 
0xf7212118 real : 0.000000 / imag : 0.000000 
0xf7212128 real : 396.814985 / imag : -286.818195 
0xf7212138 real : 0.000000 / imag : 0.000000 
0xf7212148 real : 348.482970 / imag : -667.547054 
0xf7212158 real : 0.000000 / imag : 0.000000 
0xf7212168 real : 377.578280 / imag : -104.309709 
0xf7212178 real : 0.000000 / imag : 0.000000 
0xf7212188 real : 349.846937 / imag : -1218.534879 
0xf7212198 real : 0.000000 / imag : 0.000000 
0xf72121a8 real : 401.513170 / imag : -212.112357 
0xf72121b8 real : 0.000000 / imag : 0.000000 
0xf72121c8 real : 394.959911 / imag : -350.247333 
0xf72121d8 real : 0.000000 / imag : 0.000000 
0xf72121e8 real : 337.577615 / imag : -56.627429 
0xf72121f8 real : 0.000000 / imag : 0.000000 
0xf7212208 real : -1906.230157 / imag : -16594.396267 
0xf7212218 real : 0.000000 / imag : 0.000000 
0xf7212228 real : 378.468837 / imag : -321.215042 
0xf7212238 real : 0.000000 / imag : 0.000000 
0xf7212248 real : 423.656545 / imag : -821.924528 
0xf7212258 real : 0.000000 / imag : 0.000000 
0xf7212268 real : 390.394536 / imag : -218.520105 
0xf7212278 real : 0.000000 / imag : 0.000000 
0xf7212288 real : 323.077481 / imag : -1489.676832 
0xf7212298 real : 0.000000 / imag : 0.000000 
0xf72122a8 real : 305.885238 / imag : -181.469030 
0xf72122b8 real : 0.000000 / imag : 0.000000 
0xf72122c8 real : 365.560559 / imag : -501.588810 
0xf72122d8 real : 0.000000 / imag : 0.000000 
0xf72122e8 real : 319.395578 / imag : -105.761833 
0xf72122f8 real : 0.000000 / imag : 0.000000 
0xf7212308 real : 279.462241 / imag : -2586.407480 
0xf7212318 real : 0.000000 / imag : 0.000000 
0xf7212328 real : 289.583451 / imag : -269.627042 
0xf7212338 real : 0.000000 / imag : 0.000000 
0xf7212348 real : 369.591050 / imag : -621.373410 
0xf7212358 real : 0.000000 / imag : 0.000000 
0xf7212368 real : 398.482207 / imag : -30.467495 
0xf7212378 real : 0.000000 / imag : 0.000000 
0xf7212388 real : 346.683474 / imag : -1028.367915 
0xf7212398 real : 0.000000 / imag : 0.000000 
0xf72123a8 real : 339.129365 / imag : -118.910135 
0xf72123b8 real : 0.000000 / imag : 0.000000 
0xf72123c8 real : 362.188911 / imag : -409.111873 
0xf72123d8 real : 0.000000 / imag : 0.000000 
0xf72123e8 real : 438.670687 / imag : -2.287099 
0xf72123f8 real : 0.000000 / imag : 0.000000 
0xf7212408 real : 3576.753366 / imag : 12332.584388 
0xf7212418 real : 0.000000 / imag : 0.000000 
0xf7212428 real : 318.530503 / imag : -383.366651 
0xf7212438 real : 0.000000 / imag : 0.000000 
0xf7212448 real : 339.131468 / imag : -810.140357 
0xf7212458 real : 0.000000 / imag : 0.000000 
0xf7212468 real : 361.158441 / imag : -75.978615 
0xf7212478 real : 0.000000 / imag : 0.000000 
0xf7212488 real : 350.683937 / imag : -1662.395416 
0xf7212498 real : 0.000000 / imag : 0.000000 
0xf72124a8 real : 334.136710 / imag : -209.338653 
0xf72124b8 real : 0.000000 / imag : 0.000000 
0xf72124c8 real : 369.273145 / imag : -498.863656 
0xf72124d8 real : 0.000000 / imag : 0.000000 
0xf72124e8 real : 361.960143 / imag : -77.606791 
0xf72124f8 real : 0.000000 / imag : 0.000000 
0xf7212508 real : 225.942202 / imag : -3256.030893 
0xf7212518 real : 0.000000 / imag : 0.000000 
0xf7212528 real : 313.085982 / imag : -287.796454 
0xf7212538 real : 0.000000 / imag : 0.000000 
0xf7212548 real : 350.746087 / imag : -613.854962 
0xf7212558 real : 0.000000 / imag : 0.000000 
0xf7212568 real : 376.989426 / imag : -100.967370 
0xf7212578 real : 0.000000 / imag : 0.000000 
0xf7212588 real : 376.943740 / imag : -1115.861094 
0xf7212598 real : 0.000000 / imag : 0.000000 
0xf72125a8 real : 333.207929 / imag : -130.709129 
0xf72125b8 real : 0.000000 / imag : 0.000000 
0xf72125c8 real : 400.821650 / imag : -348.562958 
0xf72125d8 real : 0.000000 / imag : 0.000000 
0xf72125e8 real : 322.566428 / imag : -44.915649 
0xf72125f8 real : 0.000000 / imag : 0.000000 
0xf7212608 real : -180.557471 / imag : -6659.501191 
0xf7212618 real : 0.000000 / imag : 0.000000 
0xf7212628 real : 369.961349 / imag : -308.321001 
0xf7212638 real : 0.000000 / imag : 0.000000 
0xf7212648 real : 370.184225 / imag : -726.534065 
0xf7212658 real : 0.000000 / imag : 0.000000 
0xf7212668 real : 376.091088 / imag : -59.203301 
0xf7212678 real : 0.000000 / imag : 0.000000 
0xf7212688 real : 357.419898 / imag : -1338.981536 
0xf7212698 real : 0.000000 / imag : 0.000000 
0xf72126a8 real : 410.509681 / imag : -219.242581 
0xf72126b8 real : 0.000000 / imag : 0.000000 
0xf72126c8 real : 380.477323 / imag : -403.631220 
0xf72126d8 real : 0.000000 / imag : 0.000000 
0xf72126e8 real : 392.165626 / imag : -30.205269 
0xf72126f8 real : 0.000000 / imag : 0.000000 
0xf7212708 real : 314.192156 / imag : -2198.103179 
0xf7212718 real : 0.000000 / imag : 0.000000 
0xf7212728 real : 379.691581 / imag : -248.686687 
0xf7212738 real : 0.000000 / imag : 0.000000 
0xf7212748 real : 373.433644 / imag : -583.010998 
0xf7212758 real : 0.000000 / imag : 0.000000 
0xf7212768 real : 376.717108 / imag : -79.599759 
0xf7212778 real : 0.000000 / imag : 0.000000 
0xf7212788 real : 384.803149 / imag : -956.852428 
0xf7212798 real : 0.000000 / imag : 0.000000 
0xf72127a8 real : 394.580912 / imag : -183.234216 
0xf72127b8 real : 0.000000 / imag : 0.000000 
0xf72127c8 real : 326.415308 / imag : -436.601282 
0xf72127d8 real : 0.000000 / imag : 0.000000 
0xf72127e8 real : 276.915668 / imag : -18.926778 
0xf72127f8 real : 0.000000 / imag : 0.000000 
0xf7212808 real : 13492.360565 / imag : 4067.375974 
0xf7212818 real : 2224.027337 / imag : 186.625783 
0xf7212828 real : 2204.794635 / imag : -2053.284766 
0xf7212838 real : 0.000000 / imag : 0.000000 
0xf7212848 real : 2671.445144 / imag : -5001.103400 
0xf7212858 real : 0.000000 / imag : 0.000000 
0xf7212868 real : 2277.578033 / imag : -810.779987 
0xf7212878 real : 0.000000 / imag : 0.000000 
0xf7212888 real : 2601.688504 / imag : -9990.044000 
0xf7212898 real : 0.000000 / imag : 0.000000 
0xf72128a8 real : 2241.723908 / imag : -1248.703203 
0xf72128b8 real : 0.000000 / imag : 0.000000 
0xf72128c8 real : 2358.415132 / imag : -3034.103094 
0xf72128d8 real : 0.000000 / imag : 0.000000 
0xf72128e8 real : 2346.162002 / imag : -68.426075 
0xf72128f8 real : 0.000000 / imag : 0.000000 
0xf7212908 real : 2397.383609 / imag : -19782.323450 
0xf7212918 real : 0.000000 / imag : 0.000000 
0xf7212928 real : 2290.769395 / imag : -1580.310618 
0xf7212938 real : 0.000000 / imag : 0.000000 
0xf7212948 real : 2427.859859 / imag : -3833.424937 
0xf7212958 real : 0.000000 / imag : 0.000000 
0xf7212968 real : 2222.358549 / imag : -512.016727 
0xf7212978 real : 0.000000 / imag : 0.000000 
0xf7212988 real : 2512.505867 / imag : -6651.079353 
0xf7212998 real : 0.000000 / imag : 0.000000 
0xf72129a8 real : 2091.280023 / imag : -820.622551 
0xf72129b8 real : 0.000000 / imag : 0.000000 
0xf72129c8 real : 2260.056160 / imag : -2611.219966 
0xf72129d8 real : 0.000000 / imag : 0.000000 
0xf72129e8 real : 2150.056082 / imag : -51.315482 
0xf72129f8 real : 0.000000 / imag : 0.000000 
0xf7212a08 real : -505.370520 / imag : -46250.891650 
0xf7212a18 real : 0.000000 / imag : 0.000000 
0xf7212a28 real : 2281.970911 / imag : -1770.835006 
0xf7212a38 real : 0.000000 / imag : 0.000000 
0xf7212a48 real : 2448.192110 / imag : -4311.107214 
0xf7212a58 real : 0.000000 / imag : 0.000000 
0xf7212a68 real : 2245.190958 / imag : -692.070386 
0xf7212a78 real : 0.000000 / imag : 0.000000 
0xf7212a88 real : 2790.496340 / imag : -7936.609365 
0xf7212a98 real : 0.000000 / imag : 0.000000 
0xf7212aa8 real : 2311.427492 / imag : -1134.515960 
0xf7212ab8 real : 0.000000 / imag : 0.000000 
0xf7212ac8 real : 2357.368941 / imag : -2518.042426 
0xf7212ad8 real : 0.000000 / imag : 0.000000 
0xf7212ae8 real : 2172.900204 / imag : -164.583875 
0xf7212af8 real : 0.000000 / imag : 0.000000 
0xf7212b08 real : 2484.594825 / imag : -13355.059140 
