
===== half.wav =====
[] Data chunk size = 66150
[] The number of channel = 1 (mono = 1, stereo = 2)
[] Sampling rate = 11025 [Hz or samples/sec]
[] Sample resolution = 8 [bits/sample]
[] Play time = 6.000000 [sec]
Array size : 66150
Print bin end
Index : 65536
=== END ===
==== PRINT ====
0xf7198008 real : 8388760.000000 / imag : 0.000000 
0xf7198018 real : -104.000000 / imag : 0.000000 
0xf7198028 real : 8.000000 / imag : -24.000000 
0xf7198038 real : 0.000000 / imag : 0.000000 
0xf7198048 real : 88.485281 / imag : -73.455844 
0xf7198058 real : 0.000000 / imag : 0.000000 
0xf7198068 real : 71.514719 / imag : 22.544156 
0xf7198078 real : 0.000000 / imag : 0.000000 
0xf7198088 real : 42.912447 / imag : -109.546864 
0xf7198098 real : 0.000000 / imag : 0.000000 
0xf71980a8 real : 337.394904 / imag : -36.405234 
0xf71980b8 real : 0.000000 / imag : 0.000000 
0xf71980c8 real : 33.683306 / imag : -35.032651 
0xf71980d8 real : 0.000000 / imag : 0.000000 
0xf71980e8 real : 34.009342 / imag : -62.919447 
0xf71980f8 real : 0.000000 / imag : 0.000000 
0xf7198108 real : 14.701768 / imag : -274.147806 
0xf7198118 real : 0.000000 / imag : 0.000000 
0xf7198128 real : -0.497404 / imag : 0.588918 
0xf7198138 real : 0.000000 / imag : 0.000000 
0xf7198148 real : 85.449605 / imag : -100.143318 
0xf7198158 real : 0.000000 / imag : 0.000000 
0xf7198168 real : 48.989528 / imag : -289.673132 
0xf7198178 real : 0.000000 / imag : 0.000000 
0xf7198188 real : 47.503181 / imag : -71.778274 
0xf7198198 real : 0.000000 / imag : 0.000000 
0xf71981a8 real : 79.881062 / imag : 8.589241 
0xf71981b8 real : 0.000000 / imag : 0.000000 
0xf71981c8 real : 49.965458 / imag : 51.314673 
0xf71981d8 real : 0.000000 / imag : 0.000000 
0xf71981e8 real : -5.993199 / imag : -43.500978 
0xf71981f8 real : 0.000000 / imag : 0.000000 
0xf7198208 real : -125.231815 / imag : -1115.292581 
0xf7198218 real : 0.000000 / imag : 0.000000 
0xf7198228 real : -14.410151 / imag : -22.869821 
0xf7198238 real : 0.000000 / imag : 0.000000 
0xf7198248 real : -187.302876 / imag : 120.821752 
0xf7198258 real : 0.000000 / imag : 0.000000 
0xf7198268 real : 63.243608 / imag : 105.051432 
0xf7198278 real : 0.000000 / imag : 0.000000 
0xf7198288 real : 13.589127 / imag : -97.595863 
0xf7198298 real : 0.000000 / imag : 0.000000 
0xf71982a8 real : 40.547193 / imag : 30.056512 
0xf71982b8 real : 0.000000 / imag : 0.000000 
0xf71982c8 real : 27.722969 / imag : -83.412426 
0xf71982d8 real : 0.000000 / imag : 0.000000 
0xf71982e8 real : 34.869023 / imag : -36.961405 
0xf71982f8 real : 0.000000 / imag : 0.000000 
0xf7198308 real : 22.694474 / imag : -169.214161 
0xf7198318 real : 0.000000 / imag : 0.000000 
0xf7198328 real : -55.893626 / imag : 12.435566 
0xf7198338 real : 0.000000 / imag : 0.000000 
0xf7198348 real : -31.593633 / imag : 104.957269 
0xf7198358 real : 0.000000 / imag : 0.000000 
0xf7198368 real : 57.319307 / imag : -54.012779 
0xf7198378 real : 0.000000 / imag : 0.000000 
0xf7198388 real : -17.576767 / imag : -52.881756 
0xf7198398 real : 0.000000 / imag : 0.000000 
0xf71983a8 real : 149.215253 / imag : -87.662876 
0xf71983b8 real : 0.000000 / imag : 0.000000 
0xf71983c8 real : 147.465120 / imag : 188.187316 
0xf71983d8 real : 0.000000 / imag : 0.000000 
0xf71983e8 real : 3.342795 / imag : -18.010979 
0xf71983f8 real : 0.000000 / imag : 0.000000 
0xf7198408 real : 228.218913 / imag : 689.689371 
0xf7198418 real : 0.000000 / imag : 0.000000 
0xf7198428 real : 48.698670 / imag : 16.351238 
0xf7198438 real : 0.000000 / imag : 0.000000 
0xf7198448 real : 105.156400 / imag : -85.739115 
0xf7198458 real : 0.000000 / imag : 0.000000 
0xf7198468 real : 131.390163 / imag : -176.070376 
0xf7198478 real : 0.000000 / imag : 0.000000 
0xf7198488 real : 57.507146 / imag : -90.024709 
0xf7198498 real : 0.000000 / imag : 0.000000 
0xf71984a8 real : 8.036026 / imag : 36.727725 
0xf71984b8 real : 0.000000 / imag : 0.000000 
0xf71984c8 real : 28.135990 / imag : 13.724884 
0xf71984d8 real : 0.000000 / imag : 0.000000 
0xf71984e8 real : 78.823327 / imag : 3.993368 
0xf71984f8 real : 0.000000 / imag : 0.000000 
0xf7198508 real : 16.649600 / imag : -218.304679 
0xf7198518 real : 0.000000 / imag : 0.000000 
0xf7198528 real : 47.142326 / imag : 16.768551 
0xf7198538 real : 0.000000 / imag : 0.000000 
0xf7198548 real : 94.802161 / imag : -128.170415 
0xf7198558 real : 0.000000 / imag : 0.000000 
0xf7198568 real : 75.295606 / imag : -8.489831 
0xf7198578 real : 0.000000 / imag : 0.000000 
0xf7198588 real : 38.237393 / imag : -66.448747 
0xf7198598 real : 0.000000 / imag : 0.000000 
0xf71985a8 real : 3.122087 / imag : 86.764564 
0xf71985b8 real : 0.000000 / imag : 0.000000 
0xf71985c8 real : 87.469382 / imag : 124.031924 
0xf71985d8 real : 0.000000 / imag : 0.000000 
0xf71985e8 real : 206.408923 / imag : 53.074260 
0xf71985f8 real : 0.000000 / imag : 0.000000 
0xf7198608 real : -0.265396 / imag : -422.404719 
0xf7198618 real : 0.000000 / imag : 0.000000 
0xf7198628 real : -13.427285 / imag : -12.731371 
0xf7198638 real : 0.000000 / imag : 0.000000 
0xf7198648 real : -3.672329 / imag : -4.942069 
0xf7198658 real : 0.000000 / imag : 0.000000 
0xf7198668 real : 71.302634 / imag : 186.636254 
0xf7198678 real : 0.000000 / imag : 0.000000 
0xf7198688 real : -0.280402 / imag : -89.406449 
0xf7198698 real : 0.000000 / imag : 0.000000 
0xf71986a8 real : 101.576832 / imag : -2.383789 
0xf71986b8 real : 0.000000 / imag : 0.000000 
0xf71986c8 real : 25.566806 / imag : -46.817796 
0xf71986d8 real : 0.000000 / imag : 0.000000 
0xf71986e8 real : -52.113337 / imag : -91.921047 
0xf71986f8 real : 0.000000 / imag : 0.000000 
0xf7198708 real : 14.402423 / imag : -152.143949 
0xf7198718 real : 0.000000 / imag : 0.000000 
0xf7198728 real : -77.323997 / imag : 27.362885 
0xf7198738 real : 0.000000 / imag : 0.000000 
0xf7198748 real : 59.609025 / imag : -107.196738 
0xf7198758 real : 0.000000 / imag : 0.000000 
0xf7198768 real : 36.134137 / imag : -82.223432 
0xf7198778 real : 0.000000 / imag : 0.000000 
0xf7198788 real : 48.706867 / imag : -59.152743 
0xf7198798 real : 0.000000 / imag : 0.000000 
0xf71987a8 real : 51.237968 / imag : 54.436812 
0xf71987b8 real : 0.000000 / imag : 0.000000 
0xf71987c8 real : -85.688061 / imag : -156.646907 
0xf71987d8 real : 0.000000 / imag : 0.000000 
0xf71987e8 real : 49.051027 / imag : -3.050430 
0xf71987f8 real : 0.000000 / imag : 0.000000 
0xf7198808 real : 126.761080 / imag : 219.335972 
0xf7198818 real : 19.779541 / imag : -1.403088 
0xf7198828 real : 216.442120 / imag : 130.863747 
0xf7198838 real : 0.000000 / imag : 0.000000 
0xf7198848 real : -2.318752 / imag : -33.495751 
0xf7198858 real : 0.000000 / imag : 0.000000 
0xf7198868 real : 2.437741 / imag : -63.685210 
0xf7198878 real : 0.000000 / imag : 0.000000 
0xf7198888 real : -10.518307 / imag : -110.602065 
0xf7198898 real : 0.000000 / imag : 0.000000 
0xf71988a8 real : 60.939711 / imag : -57.164194 
0xf71988b8 real : 0.000000 / imag : 0.000000 
0xf71988c8 real : 20.027701 / imag : 26.894352 
0xf71988d8 real : 0.000000 / imag : 0.000000 
0xf71988e8 real : -86.494693 / imag : -109.851699 
0xf71988f8 real : 0.000000 / imag : 0.000000 
0xf7198908 real : -467.155961 / imag : -991.001915 
0xf7198918 real : 0.000000 / imag : 0.000000 
0xf7198928 real : 143.501390 / imag : -13.242580 
0xf7198938 real : 0.000000 / imag : 0.000000 
0xf7198948 real : 20.862120 / imag : -30.109494 
0xf7198958 real : 0.000000 / imag : 0.000000 
0xf7198968 real : -9.930938 / imag : 1.929642 
0xf7198978 real : 0.000000 / imag : 0.000000 
0xf7198988 real : 21.934905 / imag : -61.264452 
0xf7198998 real : 0.000000 / imag : 0.000000 
0xf71989a8 real : 49.477229 / imag : -85.481643 
0xf71989b8 real : 0.000000 / imag : 0.000000 
0xf71989c8 real : 60.743256 / imag : 49.013094 
0xf71989d8 real : 0.000000 / imag : 0.000000 
0xf71989e8 real : -118.874221 / imag : -55.186534 
0xf71989f8 real : 0.000000 / imag : 0.000000 
0xf7198a08 real : -21.069170 / imag : -461.729020 
0xf7198a18 real : 0.000000 / imag : 0.000000 
0xf7198a28 real : -19.706200 / imag : -66.207989 
0xf7198a38 real : 0.000000 / imag : 0.000000 
0xf7198a48 real : 6.383848 / imag : -25.712573 
0xf7198a58 real : 0.000000 / imag : 0.000000 
0xf7198a68 real : -29.702586 / imag : 155.023079 
0xf7198a78 real : 0.000000 / imag : 0.000000 
0xf7198a88 real : 40.609995 / imag : -67.749070 
0xf7198a98 real : 0.000000 / imag : 0.000000 
0xf7198aa8 real : -162.258922 / imag : 46.242788 
0xf7198ab8 real : 0.000000 / imag : 0.000000 
0xf7198ac8 real : 28.674263 / imag : -49.327776 
0xf7198ad8 real : 0.000000 / imag : 0.000000 
0xf7198ae8 real : 97.265508 / imag : 82.770467 
0xf7198af8 real : 0.000000 / imag : 0.000000 
0xf7198b08 real : -11.420396 / imag : -153.136780 
0xf7198b18 real : 0.000000 / imag : 0.000000 
0xf7198b28 real : 76.094713 / imag : -44.812874 
0xf7198b38 real : 0.000000 / imag : 0.000000 
0xf7198b48 real : 3.041317 / imag : 24.374096 
0xf7198b58 real : 0.000000 / imag : 0.000000 
0xf7198b68 real : -60.266051 / imag : -128.144436 
0xf7198b78 real : 0.000000 / imag : 0.000000 
0xf7198b88 real : -22.505655 / imag : -43.403790 
0xf7198b98 real : 0.000000 / imag : 0.000000 
0xf7198ba8 real : -38.284823 / imag : 13.083974 
0xf7198bb8 real : 0.000000 / imag : 0.000000 
0xf7198bc8 real : 13.829875 / imag : -61.659655 
0xf7198bd8 real : 0.000000 / imag : 0.000000 
0xf7198be8 real : 106.178014 / imag : 21.338976 
0xf7198bf8 real : 0.000000 / imag : 0.000000 
0xf7198c08 real : 1773.493773 / imag : 10297.051001 
0xf7198c18 real : 0.000000 / imag : 0.000000 
0xf7198c28 real : -226.830334 / imag : -227.748063 
0xf7198c38 real : 0.000000 / imag : 0.000000 
0xf7198c48 real : 63.428359 / imag : -71.191843 
0xf7198c58 real : 0.000000 / imag : 0.000000 
0xf7198c68 real : -28.987560 / imag : 58.588250 
0xf7198c78 real : 0.000000 / imag : 0.000000 
0xf7198c88 real : 27.979270 / imag : -89.764769 
0xf7198c98 real : 0.000000 / imag : 0.000000 
0xf7198ca8 real : -37.735693 / imag : -27.036979 
0xf7198cb8 real : 0.000000 / imag : 0.000000 
0xf7198cc8 real : 26.489743 / imag : 89.922665 
0xf7198cd8 real : 0.000000 / imag : 0.000000 
0xf7198ce8 real : -108.410624 / imag : -115.485495 
0xf7198cf8 real : 0.000000 / imag : 0.000000 
0xf7198d08 real : 4.399942 / imag : -187.177531 
0xf7198d18 real : 0.000000 / imag : 0.000000 
0xf7198d28 real : 10.869262 / imag : -46.933940 
0xf7198d38 real : 0.000000 / imag : 0.000000 
0xf7198d48 real : 12.249192 / imag : -11.867623 
0xf7198d58 real : 0.000000 / imag : 0.000000 
0xf7198d68 real : -9.255419 / imag : -12.129891 
0xf7198d78 real : 0.000000 / imag : 0.000000 
0xf7198d88 real : -4.277571 / imag : -61.666591 
0xf7198d98 real : 0.000000 / imag : 0.000000 
0xf7198da8 real : -110.411158 / imag : 85.011401 
0xf7198db8 real : 0.000000 / imag : 0.000000 
0xf7198dc8 real : -1.017758 / imag : -106.559544 
0xf7198dd8 real : 0.000000 / imag : 0.000000 
0xf7198de8 real : 163.311030 / imag : 55.839258 
0xf7198df8 real : 0.000000 / imag : 0.000000 
0xf7198e08 real : 21.884248 / imag : -264.562177 
0xf7198e18 real : 0.000000 / imag : 0.000000 
0xf7198e28 real : -29.310739 / imag : -66.303084 
0xf7198e38 real : 0.000000 / imag : 0.000000 
0xf7198e48 real : 49.973926 / imag : -66.582552 
0xf7198e58 real : 0.000000 / imag : 0.000000 
0xf7198e68 real : -9.242952 / imag : 47.867995 
0xf7198e78 real : 0.000000 / imag : 0.000000 
0xf7198e88 real : 53.704661 / imag : -69.525750 
0xf7198e98 real : 0.000000 / imag : 0.000000 
0xf7198ea8 real : 27.457148 / imag : -58.123705 
0xf7198eb8 real : 0.000000 / imag : 0.000000 
0xf7198ec8 real : 25.706930 / imag : -67.619002 
0xf7198ed8 real : 0.000000 / imag : 0.000000 
0xf7198ee8 real : -16.526443 / imag : -10.877292 
0xf7198ef8 real : 0.000000 / imag : 0.000000 
0xf7198f08 real : 10.937771 / imag : -127.435077 
0xf7198f18 real : 0.000000 / imag : 0.000000 
0xf7198f28 real : 46.586595 / imag : -49.149247 
0xf7198f38 real : 0.000000 / imag : 0.000000 
0xf7198f48 real : 23.924729 / imag : -16.700870 
0xf7198f58 real : 0.000000 / imag : 0.000000 
0xf7198f68 real : 10.797844 / imag : 25.849055 
0xf7198f78 real : 0.000000 / imag : 0.000000 
0xf7198f88 real : 43.308994 / imag : -60.489641 
0xf7198f98 real : 0.000000 / imag : 0.000000 
0xf7198fa8 real : -32.956408 / imag : 19.658219 
0xf7198fb8 real : 0.000000 / imag : 0.000000 
0xf7198fc8 real : 9.427394 / imag : -66.149385 
0xf7198fd8 real : 0.000000 / imag : 0.000000 
0xf7198fe8 real : 21.286252 / imag : 1.258595 
0xf7198ff8 real : 0.000000 / imag : 0.000000 
0xf7199008 real : 140.736622 / imag : 78.975447 
0xf7199018 real : -225.109197 / imag : 3.831446 
0xf7199028 real : -23.164582 / imag : -96.696081 
0xf7199038 real : 0.000000 / imag : 0.000000 
0xf7199048 real : 57.706133 / imag : -71.545047 
0xf7199058 real : 0.000000 / imag : 0.000000 
0xf7199068 real : -14.698571 / imag : 10.249014 
0xf7199078 real : 0.000000 / imag : 0.000000 
0xf7199088 real : 4.667153 / imag : -128.418064 
0xf7199098 real : 0.000000 / imag : 0.000000 
0xf71990a8 real : -15.729874 / imag : -37.821680 
0xf71990b8 real : 0.000000 / imag : 0.000000 
0xf71990c8 real : 3.922005 / imag : 124.326145 
0xf71990d8 real : 0.000000 / imag : 0.000000 
0xf71990e8 real : -64.019555 / imag : -102.659067 
0xf71990f8 real : 0.000000 / imag : 0.000000 
0xf7199108 real : 12.337610 / imag : -246.040140 
0xf7199118 real : 0.000000 / imag : 0.000000 
0xf7199128 real : 216.910629 / imag : 6.764837 
0xf7199138 real : 0.000000 / imag : 0.000000 
0xf7199148 real : -247.148123 / imag : 307.812285 
0xf7199158 real : 0.000000 / imag : 0.000000 
0xf7199168 real : -15.575886 / imag : -136.888273 
0xf7199178 real : 0.000000 / imag : 0.000000 
0xf7199188 real : 49.588057 / imag : -75.793487 
0xf7199198 real : 0.000000 / imag : 0.000000 
0xf71991a8 real : -10.132749 / imag : -24.404495 
0xf71991b8 real : 0.000000 / imag : 0.000000 
0xf71991c8 real : 64.850254 / imag : 51.179203 
0xf71991d8 real : 0.000000 / imag : 0.000000 
0xf71991e8 real : 14.262879 / imag : 0.119056 
0xf71991f8 real : 0.000000 / imag : 0.000000 
0xf7199208 real : -165.061951 / imag : -1111.902974 
0xf7199218 real : 0.000000 / imag : 0.000000 
0xf7199228 real : 165.675830 / imag : 31.859994 
0xf7199238 real : 0.000000 / imag : 0.000000 
0xf7199248 real : 87.022818 / imag : -97.400292 
0xf7199258 real : 0.000000 / imag : 0.000000 
0xf7199268 real : -14.299611 / imag : 85.319331 
0xf7199278 real : 0.000000 / imag : 0.000000 
0xf7199288 real : 24.618566 / imag : -93.136472 
0xf7199298 real : 0.000000 / imag : 0.000000 
0xf71992a8 real : 23.829224 / imag : -48.896641 
0xf71992b8 real : 0.000000 / imag : 0.000000 
0xf71992c8 real : 38.732314 / imag : 25.267047 
0xf71992d8 real : 0.000000 / imag : 0.000000 
0xf71992e8 real : -103.112874 / imag : -98.488063 
0xf71992f8 real : 0.000000 / imag : 0.000000 
0xf7199308 real : -44.546150 / imag : -225.345074 
0xf7199318 real : 0.000000 / imag : 0.000000 
0xf7199328 real : -18.444641 / imag : -47.136277 
0xf7199338 real : 0.000000 / imag : 0.000000 
0xf7199348 real : 13.139606 / imag : -2.641219 
0xf7199358 real : 0.000000 / imag : 0.000000 
0xf7199368 real : 16.292729 / imag : 28.947833 
0xf7199378 real : 0.000000 / imag : 0.000000 
0xf7199388 real : 42.037562 / imag : -69.146449 
0xf7199398 real : 0.000000 / imag : 0.000000 
0xf71993a8 real : -40.022699 / imag : 26.795713 
0xf71993b8 real : 0.000000 / imag : 0.000000 
0xf71993c8 real : -13.224242 / imag : -116.785486 
0xf71993d8 real : 0.000000 / imag : 0.000000 
0xf71993e8 real : -45.239403 / imag : -14.621682 
0xf71993f8 real : 0.000000 / imag : 0.000000 
0xf7199408 real : 330.876072 / imag : 1408.687444 
0xf7199418 real : 0.000000 / imag : 0.000000 
0xf7199428 real : 6.678121 / imag : -62.849444 
0xf7199438 real : 0.000000 / imag : 0.000000 
0xf7199448 real : 94.131915 / imag : -93.978525 
0xf7199458 real : 0.000000 / imag : 0.000000 
0xf7199468 real : -35.651015 / imag : 110.554377 
0xf7199478 real : 0.000000 / imag : 0.000000 
0xf7199488 real : 17.768469 / imag : -108.753700 
0xf7199498 real : 0.000000 / imag : 0.000000 
0xf71994a8 real : 22.700058 / imag : -46.313159 
0xf71994b8 real : 0.000000 / imag : 0.000000 
0xf71994c8 real : 26.380633 / imag : 67.765019 
0xf71994d8 real : 0.000000 / imag : 0.000000 
0xf71994e8 real : 47.559336 / imag : 42.068890 
0xf71994f8 real : 0.000000 / imag : 0.000000 
0xf7199508 real : 17.360112 / imag : -197.303294 
0xf7199518 real : 0.000000 / imag : 0.000000 
0xf7199528 real : 30.726501 / imag : -44.654152 
0xf7199538 real : 0.000000 / imag : 0.000000 
0xf7199548 real : 28.837106 / imag : -42.966417 
0xf7199558 real : 0.000000 / imag : 0.000000 
